// Ruins First Puzzle Room
Fill:12:0
5,3,2,0
6,2,3,0
6,2,4,0
7,2,5,0
5,2,8,0
6,2,9,0
6,2,10,0
6,2,11,0
6,3,12,0
// Row 2
5,3,1,1
7,2,2,1
10,0,3,1
10,0,4,1
11,0,5,1
9,0,8,1
10,0,9,1
10,0,10,1
10,0,11,1
5,2,12,1
6,3,13,1
// Row 3
7,1,1,2
11,0,2,2
10,0,3,2
12,6,4,2
11,0,5,2
9,0,8,2
10,0,9,2
10,0,10,2
10,0,11,2
9,0,12,2
5,2,13,2
6,3,14,2
// Row 4
7,1,1,3
11,0,2,3
10,1,3,3
10,1,4,3
11,1,5,3
9,1,8,3
10,1,9,3
10,1,10,3
10,1,11,3
9,0,12,3
9,0,13,3
5,1,14,3
// Row 5
7,1,1,4
11,1,2,4
8,0,3,4
0,2,4,4
0,2,5,4
0,1,6,4
0,1,7,4
0,2,8,4
0,2,9,4
0,2,10,4
8,0,11,4
9,1,12,4
9,0,13,4
5,1,14,4
// Row 6
7,1,1,5
8,0,2,5
0,2,3,5
0,2,4,5
12,9,5,5
0,1,6,5
13,10,7,5
0,2,8,5
0,2,9,5
11,11,10,5
0,2,11,5
8,0,12,5
9,1,13,5
5,1,14,5
// Row 7
7,1,1,6
8,0,2,6
0,2,3,6
0,2,4,6
0,1,5,6
0,1,6,6
0,2,7,6
0,2,8,6
0,2,9,6
15,10,10,6
0,2,11,6
0,2,12,6
8,0,13,6
5,1,14,6
// Row 8
7,1,1,7
8,0,2,7
0,2,3,7
0,2,4,7
0,1,5,7
0,1,6,7
0,2,7,7
0,2,8,7
0,2,9,7
15,10,10,7
0,2,11,7
0,2,12,7
8,0,13,7
5,1,14,7
// Row 9
7,1,1,8
8,0,2,8
0,2,3,8
0,2,4,8
12,10,5,8
0,1,6,8
13,9,7,8
0,2,8,8
0,2,9,8
15,10,10,8
0,2,11,8
0,2,12,8
8,0,13,8
5,1,14,8
// Row 10
8,0,3,9
0,2,4,9
0,2,5,9
12,10,6,9
0,1,7,9
13,9,8,9
0,2,9,9
14,11,10,9
0,2,11,9
8,0,12,9
// Row 11
8,0,5,10
0,2,6,10
0,1,7,10
0,1,8,10
0,2,9,10
0,2,10,10
8,0,11,10
// Row 12
0,1,7,11
0,1,8,11
