// Ruins First Puzzle Room
Fill:1
9,1,0
18,2,0
18,3,0
16,4,0
15,7,0
18,8,0
18,9,0
18,10,0
10,11,0
// Row 2
9,0,1
16,1,1
22,2,1
22,3,1
23,4,1
21,7,1
22,8,1
22,9,1
22,10,1
15,11,1
10,12,1
// Row 3
20,0,2
23,1,2
22,2,2
27,3,2
23,4,2
21,7,2
22,8,2
22,9,2
22,10,2
21,11,2
15,12,2
10,13,2
// Row 4
20,0,3
23,1,3
25,2,3
25,3,3
26,4,3
24,7,3
25,8,3
25,9,3
25,10,3
21,11,3
21,12,3
19,13,3
// Row 5
20,0,4
26,1,4
4,2,4
3,3,4
3,4,4
2,5,4
2,6,4
3,7,4
3,8,4
3,9,4
4,10,4
24,11,4
21,12,4
19,13,4
// Row 6
20,0,5
4,1,5
3,2,5
3,3,5
5,4,5
2,5,5
8,6,5
3,7,5
3,8,5
28,9,5
3,10,5
4,11,5
24,12,5
19,13,5
// Row 7
20,0,6
4,1,6
3,2,6
3,3,6
2,4,6
2,5,6
3,6,6
3,7,6
3,8,6
29,9,6
3,10,6
3,11,6
4,12,6
19,13,6
// Row 8
20,0,7
4,1,7
3,2,7
3,3,7
2,4,7
2,5,7
3,6,7
3,7,7
3,8,7
29,9,7
3,10,7
3,11,7
4,12,7
19,13,7
// Row 9
20,0,8
4,1,8
3,2,8
3,3,8
7,4,8
2,5,8
6,6,8
3,7,8
3,8,8
29,9,8
3,10,8
3,11,8
4,12,8
19,13,8
// Row 10
4,2,9
3,3,9
3,4,9
7,5,9
2,6,9
6,7,9
3,8,9
30,9,9
3,10,9
4,11,9
// Row 11
4,4,10
3,5,10
2,6,10
2,7,10
3,8,10
3,9,10
4,10,10
// Row 12
2,6,11
2,7,11
